Harvest ID,Date,Client,Project,Task,Notes,Hours,Billable?,Billable Rate
2693283178,2025-07-01,Century Driving School,Century Driving Onramp misc,Support,Looked up the correct password and username for Adam. He needed to access the pci site for Precision. ,0.5,Yes,110.0
2693309358,2025-07-01,Bomhof Integrated,Internal,Accounting,Invoice CDG,0.16,No,
2693315376,2025-07-01,Century Driving School,Century Driving Onramp misc,Rails Programming,Continue working on Grafana Dashboard access,0.83,Yes,110.0
2693797253,2025-07-01,Century Driving School,Century Driving Onramp misc,Admin,Birth Certificate clean up job fix.,1.02,Yes,110.0
2694317113,2025-07-02,Century Driving School,Century Driving Onramp misc,Support,Overnight Support; Ready to Serve,0.5,Yes,110.0
2694754575,2025-07-02,Bomhof Integrated,Two Way Software,Programming,Messing around with the caching process.  Found a couple of bugs,0.45,No,
2695264250,2025-07-03,Century Driving School,Century Driving Onramp misc,Admin,Working with Chelsea to clear a delayed Job,0.5,Yes,110.0
2696185136,2025-07-04,Century Driving School,Century Driving Onramp misc,Support,Overnight Support; Ready to Serve,0.5,Yes,110.0
2696286495,2025-07-04,Century Driving School,Century Driving Onramp misc,Rails Programming,Contine working on the monitoring dashboard to load up,1.51,Yes,110.0
2696577826,2025-07-05,Century Driving School,Century Driving Onramp misc,Support,Overnight Support; Ready to Serve,0.5,Yes,110.0
2696649734,2025-07-06,Century Driving School,Century Driving Onramp misc,Admin,"Checking over everything, validating that Grafana is workign as expected so far",0.5,Yes,110.0
2696698792,2025-07-06,Bomhof Integrated,Two Way Software,Programming,Bringing in the verification and building out the react DRY setup for the script tag,2.01,No,
2697077767,2025-07-07,Century Driving School,Century Driving Onramp misc,Rails Programming,Digging into the persistence layer of ngrok for the Conversations app.,0.5,Yes,110.0
2697099201,2025-07-07,Century Driving School,Century Driving Onramp misc,Admin,Continue working on the sql grafana charts on the dashboard. Dig into the code changes for the birth certs.,1.75,Yes,110.0
2697527754,2025-07-07,Century Driving School,Century Driving Onramp misc,Rails Programming,Building out the connections for the conversations app ,1.01,Yes,110.0
2698177921,2025-07-08,Century Driving School,Century Driving Onramp misc,Support,Overnight Support; Ready to Serve,0.5,Yes,110.0
2698194569,2025-07-08,Century Driving School,Century Driving Onramp misc,Admin,Look at continued resolution of grafana dashboard. Continue work on the conversations app,2.01,Yes,110.0
2698325488,2025-07-08,Bomhof Integrated,Two Way Software,Programming,Continue working on site speak. Fix the translation content verification process,0.79,No,
2699082542,2025-07-09,Century Driving School,Century Driving Onramp misc,Support,Overnight Support; Ready to Serve,0.5,Yes,110.0
2699097586,2025-07-09,Bomhof Integrated,Internal,Accounting,Adding Sonder bill,0.14,No,
2699100917,2025-07-09,Century Driving School,Century Driving Onramp misc,Rails Programming,Dig into the Birth Certs changes. Look at the cash receipts changes,1.37,Yes,110.0
2699192832,2025-07-09,Bomhof Integrated,Two Way Software,Programming,Try to create a Coming Soon page with an email address people can email if they are interested,1.0,No,
